EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,JOB_ID,SALARY
198,Donald,OConnell,DOCONNEL,650.507.9833,SH_CLERK,2600
199,Douglas,Grant,DGRANT,650.507.9844,SH_CLERK,2600
200,Jennifer,Whalen,JWHALEN,515.123.4444,AD_ASST,4400
201,Michael,Hartstein,MHARTSTE,515.123.5555,MK_MAN,13000
202,Pat,Fay,PFAY,603.123.6666,MK_REP,6000
203,Susan,Mavris,SMAVRIS,515.123.7777,HR_REP,6500
204,Hermann,Baer,HBAER,515.123.8888,PR_REP,10000
205,Shelley,Higgins,SHIGGINS,515.123.8080,AC_MGR,12008
206,William,Gietz,WGIETZ,515.123.8181,AC_ACCOUNT,8300
100,Steven,King,SKING,515.123.4567,AD_PRES,24000
101,Neena,Kochhar,NKOCHHAR,515.123.4568,AD_VP,17000
102,Lex,De Haan,LDEHAAN,515.123.4569,AD_VP,17000
103,Alexander,Hunold,AHUNOLD,590.423.4567,IT_PROG,9000
104,Bruce,Ernst,BERNST,590.423.4568,IT_PROG,6000
105,David,Austin,DAUSTIN,590.423.4569,IT_PROG,4800
106,Valli,Pataballa,VPATABAL,590.423.4560,IT_PROG,4800
107,Diana,Lorentz,DLORENTZ,590.423.5567,IT_PROG,4200
108,Nancy,Greenberg,NGREENBE,515.124.4569,FI_MGR,12008
109,Daniel,Faviet,DFAVIET,515.124.4169,FI_ACCOUNT,9000
